X,Y,timestep_multiple,tau,d,training_start,training_end,training_size,testing_start,testing_length,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,1832,150000,10000,13000,15,voronoi,none,False,103,6.319355239185249,False,103,0.34575319290161133,8.396426185947162,0.44754542120820995
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,2636,150000,10000,13000,15,voronoi,none,False,124,5.6694382305968585,False,124,0.34275388717651367,8.039334086570516,0.48427592435564937
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,3792,150000,10000,13000,15,voronoi,none,False,150,5.086362236964125,False,150,0.3526732921600342,7.8952377898012704,0.5054814425372176
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,5455,150000,10000,13000,15,voronoi,none,False,181,4.563252963228967,False,181,0.3593935966491699,7.686494328889099,0.5326727698607385
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,7847,150000,10000,13000,15,voronoi,none,False,219,4.093943104383897,False,219,0.37555599212646484,7.550118619521576,0.5496539736183547
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,11288,150000,10000,13000,15,voronoi,none,False,265,3.6728996347537115,False,265,0.41269683837890625,7.567297692252381,0.5511507769888584
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,16237,150000,10000,13000,15,voronoi,none,False,320,3.295158575244565,False,320,0.41765379905700684,7.406981677811268,0.5666775561409824
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,23357,150000,10000,13000,15,voronoi,none,False,386,2.9562664694854583,False,386,0.4433131217956543,7.268935349817255,0.5870608565955653
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,33598,150000,10000,13000,15,voronoi,none,False,466,2.6522278788829987,False,466,0.47237181663513184,7.224070447260086,0.5942918880835043
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,48329,150000,10000,13000,15,voronoi,none,False,562,2.379458277571489,False,562,0.5344123840332031,7.109118181373309,0.6081531800179073
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,69519,150000,10000,13000,15,voronoi,none,False,679,2.1347417919036364,False,679,0.5850818157196045,7.031335419464267,0.6195198429143609
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,100000,150000,10000,13000,15,voronoi,none,False,820,1.9151932862428738,False,820,0.6949858665466309,7.051675183949167,0.6158495752118287
