X,Y,tau,d,training_start,training_end,training_size,testing_start,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,17,3,0,1000000,8376,5000000,5100000,15,voronoi,lin,False,160,4.014967922864224,False,160,0.9740569591522217,3.521823231796636,0.9212528694773336
x.npy,z.npy,17,3,0,1000000,10000,5000000,5100000,15,uniform,lin,False,500,3.8082019838124417,False,176,1.5694150924682617,4.355196420262073,0.8794677480767817
x.npy,z.npy,17,3,0,1000000,10000,5000000,5100000,15,voronoi,lin,False,176,3.8082019838124417,False,176,1.0959999561309814,3.195254542930018,0.9348240579749053
x.npy,z.npy,17,3,0,1000000,11937,5000000,5100000,15,uniform,lin,False,500,3.612084237815579,False,188,1.487102746963501,3.905019718574009,0.9019355936862533
x.npy,z.npy,17,3,0,1000000,11937,5000000,5100000,15,voronoi,lin,False,188,3.612084237815579,False,188,0.9541354179382324,3.232111127629572,0.9353054462253867
x.npy,z.npy,17,3,0,1000000,14251,5000000,5100000,15,uniform,lin,False,500,3.4260663159505174,False,222,1.471665859222412,4.208372284028869,0.886898771233046
x.npy,z.npy,17,3,0,1000000,14251,5000000,5100000,15,voronoi,lin,False,222,3.4260663159505174,False,222,0.9596223831176758,2.879849406136522,0.9478157999066936
x.npy,z.npy,17,3,0,1000000,17012,5000000,5100000,15,uniform,lin,False,500,3.2496280896232106,False,254,1.4473567008972168,4.453722516090139,0.8757475148714862
x.npy,z.npy,17,3,0,1000000,17012,5000000,5100000,15,voronoi,lin,False,254,3.2496280896232106,False,254,1.0401651859283447,2.9601936832318634,0.945169392863725
x.npy,z.npy,17,3,0,1000000,20309,5000000,5100000,15,uniform,lin,False,500,3.0822762162262602,False,265,1.469533920288086,3.589610960985333,0.9219409085897088
x.npy,z.npy,17,3,0,1000000,20309,5000000,5100000,15,voronoi,lin,False,265,3.0822762162262602,False,265,1.0379705429077148,2.770270556287455,0.9513183851753606
x.npy,z.npy,17,3,0,1000000,24244,5000000,5100000,15,uniform,lin,False,500,2.9235427596933485,False,299,1.4608659744262695,4.391151188632091,0.8805967176230598
x.npy,z.npy,17,3,0,1000000,24244,5000000,5100000,15,voronoi,lin,False,299,2.9235427596933485,False,299,1.0021467208862305,2.8750381056518375,0.9482581292552859
x.npy,z.npy,17,3,0,1000000,28942,5000000,5100000,15,uniform,lin,False,500,2.7729838820934503,False,337,1.5339539051055908,3.8311986739120547,0.9093135267944659
x.npy,z.npy,17,3,0,1000000,28942,5000000,5100000,15,voronoi,lin,False,337,2.7729838820934503,False,337,0.980339527130127,2.496252587891123,0.9610535361054884
x.npy,z.npy,17,3,0,1000000,34551,5000000,5100000,15,uniform,lin,False,500,2.6301786026063154,False,391,1.623706340789795,5.208408301950653,0.834813544777709
x.npy,z.npy,17,3,0,1000000,34551,5000000,5100000,15,voronoi,lin,False,391,2.6301786026063154,False,391,0.9824304580688477,2.5042589671314786,0.9606922041306862
x.npy,z.npy,17,3,0,1000000,41246,5000000,5100000,15,uniform,lin,False,500,2.4947276204092166,False,412,1.6174192428588867,4.907483512900944,0.8635262977549141
x.npy,z.npy,17,3,0,1000000,41246,5000000,5100000,15,voronoi,lin,False,412,2.4947276204092166,False,412,0.9699556827545166,2.3220067969331124,0.9660762009138257
x.npy,z.npy,17,3,0,1000000,49238,5000000,5100000,15,uniform,lin,False,500,2.3662521981835885,False,458,1.624720811843872,3.9848380603088236,0.8998110367134002
x.npy,z.npy,17,3,0,1000000,49238,5000000,5100000,15,voronoi,lin,False,458,2.3662521981835885,False,458,1.0772125720977783,2.310449187494794,0.9664086967166708
x.npy,z.npy,17,3,0,1000000,58780,5000000,5100000,15,uniform,lin,False,500,2.2443931031197004,False,498,1.719848871231079,3.3129529576843715,0.9323490833928441
