X,Y,tau,d,training_start,training_end,training_size,testing_start,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,17,2,0,1000000,8376,5000000,5100000,15,uniform,lin,False,500,4.014967922864224,False,57,1.2498762607574463,3.5677517019516025,0.9235974204624162
x.npy,z.npy,17,2,0,1000000,8376,5000000,5100000,15,voronoi,lin,False,57,4.014967922864224,False,57,0.9811139106750488,3.3812921227005424,0.9267539612868498
x.npy,z.npy,17,2,0,1000000,10000,5000000,5100000,15,uniform,lin,False,500,3.8082019838124417,False,66,1.2736217975616455,3.4580919044849545,0.9256726377957559
x.npy,z.npy,17,2,0,1000000,10000,5000000,5100000,15,voronoi,lin,False,66,3.8082019838124417,False,66,0.8504071235656738,3.0285932656386247,0.941737300472565
x.npy,z.npy,17,2,0,1000000,11937,5000000,5100000,15,uniform,lin,False,500,3.612084237815579,False,67,1.2414755821228027,3.1012302642249665,0.9411009513504435
x.npy,z.npy,17,2,0,1000000,11937,5000000,5100000,15,voronoi,lin,False,67,3.612084237815579,False,67,0.9409184455871582,3.147416396790701,0.9361958737448126
x.npy,z.npy,17,2,0,1000000,14251,5000000,5100000,15,uniform,lin,False,500,3.4260663159505174,False,79,1.209275722503662,3.3519087035342388,0.9312916220959906
x.npy,z.npy,17,2,0,1000000,14251,5000000,5100000,15,voronoi,lin,False,79,3.4260663159505174,False,79,0.9570889472961426,2.8093413717790434,0.9498247893166025
x.npy,z.npy,17,2,0,1000000,17012,5000000,5100000,15,uniform,lin,False,500,3.2496280896232106,False,84,1.4144103527069092,3.617645371446702,0.9151463827897722
x.npy,z.npy,17,2,0,1000000,17012,5000000,5100000,15,voronoi,lin,False,84,3.2496280896232106,False,84,0.8419344425201416,2.6921812468508697,0.9544276427890643
x.npy,z.npy,17,2,0,1000000,20309,5000000,5100000,15,uniform,lin,False,500,3.0822762162262602,False,93,1.2510254383087158,2.8784578286987053,0.947518234291713
x.npy,z.npy,17,2,0,1000000,20309,5000000,5100000,15,voronoi,lin,False,93,3.0822762162262602,False,93,0.9398491382598877,2.6374497929399987,0.9575947059774523
x.npy,z.npy,17,2,0,1000000,24244,5000000,5100000,15,uniform,lin,False,500,2.9235427596933485,False,101,1.2224574089050293,2.8879732225158157,0.9478190165966758
x.npy,z.npy,17,2,0,1000000,24244,5000000,5100000,15,voronoi,lin,False,101,2.9235427596933485,False,101,0.8545982837677002,2.6936036034963253,0.9552179535568679
